Player,Nation,Position,Squad,Competition,Age,Matches Played,Starts,Minutes Played,Goals,Assists,Shots,Shots on Target,Pass Completion %,Dribbles Completed,Tackles Won,Interceptions,Yellow Cards,Red Cards,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won %,Goals per 90,Assists per 90,Shots per 90,Shots on Target per 90,Dribbles Completed per 90,Tackles Won per 90,Interceptions per 90,Aerial Duels Won per 90
Nicola Sansone,it ITA,"FW,MF",Lecce,it Serie A,32-246,25,4,767.0,2.0,2.0,23.0,5.0,74.7,11.0,6.0,4.0,4,0,9.0,13,40.9,0.2346805736636245,0.2346805736636245,2.698826597131682,0.5867014341590613,1.2907431551499347,0.7040417209908736,0.469361147327249,1.0560625814863103
Baptiste Santamaria,fr FRA,MF,Rennes,fr Ligue 1,29-065,30,22,1926.0,0.0,1.0,28.0,9.0,87.4,14.0,33.0,34.0,3,0,37.0,36,50.7,0.0,0.04672897196261682,1.3084112149532712,0.4205607476635514,0.6542056074766356,1.542056074766355,1.5887850467289721,1.7289719626168225
Jesús Santiago,es ESP,MF,Getafe,es La Liga,19-354,11,7,530.0,1.0,0.0,4.0,2.0,75.3,2.0,7.0,0.0,3,0,6.0,4,60.0,0.16981132075471697,0.0,0.6792452830188679,0.33962264150943394,0.33962264150943394,1.1886792452830188,0.0,1.0188679245283019
Andrey Santos,br BRA,MF,Nott'ham Forest,eng Premier League,20-010,1,0,8.0,0.0,0.0,2.0,0.0,100.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0
Andrey Santos,br BRA,MF,Strasbourg,fr Ligue 1,20-010,10,8,741.0,1.0,0.0,11.0,4.0,86.9,8.0,15.0,7.0,3,0,12.0,8,60.0,0.1214574898785425,0.0,1.3360323886639676,0.48582995951417,0.97165991902834,1.8218623481781377,0.8502024291497976,1.45748987854251
Tiago santos,pt POR,DF,Lille,fr Ligue 1,21-295,29,26,2365.0,1.0,2.0,33.0,7.0,79.8,54.0,42.0,15.0,6,0,12.0,23,34.3,0.03805496828752643,0.07610993657505286,1.255813953488372,0.266384778012685,2.054968287526427,1.5983086680761098,0.5708245243128964,0.4566596194503171
Riccardo Saponara,it ITA,"FW,MF",Hellas Verona,it Serie A,32-144,12,3,342.0,0.0,0.0,5.0,1.0,70.2,4.0,1.0,0.0,0,0,1.0,5,16.7,0.0,0.0,1.3157894736842104,0.2631578947368421,1.0526315789473684,0.2631578947368421,0.0,0.2631578947368421
Pablo Sarabia,es ESP,"MF,FW",Wolves,eng Premier League,32-002,30,20,1745.0,4.0,7.0,44.0,16.0,70.1,17.0,13.0,10.0,5,0,7.0,21,25.0,0.20630372492836674,0.3610315186246418,2.2693409742120343,0.825214899713467,0.8767908309455588,0.670487106017192,0.5157593123209169,0.3610315186246418
Amin Sarr,se SWE,"FW,MF",Lyon,fr Ligue 1,23-063,3,1,98.0,0.0,0.0,5.0,2.0,65.0,2.0,0.0,0.0,0,0,2.0,3,40.0,0.0,0.0,4.591836734693878,1.8367346938775508,1.8367346938775508,0.0,0.0,1.8367346938775508
Amin Sarr,se SWE,"FW,MF",Wolfsburg,de Bundesliga,23-063,14,2,386.0,0.0,0.0,6.0,2.0,73.1,2.0,2.0,2.0,0,0,13.0,11,54.2,0.0,0.0,1.3989637305699483,0.46632124352331605,0.46632124352331605,0.46632124352331605,0.46632124352331605,3.0310880829015545
Bouna Sarr,sn SEN,DF,Bayern Munich,de Bundesliga,32-103,2,1,106.0,0.0,0.0,1.0,1.0,88.5,1.0,0.0,0.0,0,0,1.0,1,50.0,0.0,0.0,0.8490566037735848,0.8490566037735848,0.8490566037735848,0.0,0.0,0.8490566037735848
Ismaila Sarr,sn SEN,"FW,MF",Marseille,fr Ligue 1,26-078,22,14,1357.0,3.0,4.0,24.0,9.0,75.2,13.0,8.0,12.0,1,0,21.0,27,43.8,0.19896831245394253,0.26529108327192336,1.5917464996315402,0.5969049373618275,0.862196020633751,0.5305821665438467,0.7958732498157701,1.3927781871775977
Mamadou Sarr,fr FRA,DF,Lyon,fr Ligue 1,18-258,1,0,8.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martin Satriano,uy URU,FW,Brest,fr Ligue 1,23-083,32,20,1778.0,4.0,4.0,61.0,20.0,71.2,19.0,16.0,7.0,4,0,57.0,59,49.1,0.20247469066366705,0.20247469066366705,3.0877390326209224,1.012373453318335,0.9617547806524185,0.8098987626546682,0.3543307086614173,2.8852643419572552
Téji Savanier,fr FRA,MF,Montpellier,fr Ligue 1,32-143,32,32,2765.0,9.0,6.0,75.0,22.0,69.2,55.0,20.0,33.0,8,1,21.0,32,39.6,0.29294755877034356,0.19529837251356238,2.4412296564195297,0.7160940325497288,1.790235081374322,0.650994575045208,1.074141048824593,0.6835443037974683
Stefan Savić,me MNE,DF,Atlético Madrid,es La Liga,33-126,22,18,1540.0,0.0,0.0,5.0,1.0,83.1,8.0,19.0,27.0,7,1,38.0,25,60.3,0.0,0.0,0.29220779220779225,0.05844155844155844,0.4675324675324675,1.1103896103896105,1.5779220779220777,2.220779220779221
Sávio,br BRA,"FW,MF",Girona,es La Liga,20-033,34,33,2772.0,8.0,9.0,37.0,17.0,76.0,97.0,23.0,17.0,5,0,4.0,13,23.5,0.2597402597402597,0.29220779220779225,1.2012987012987013,0.551948051948052,3.1493506493506493,0.7467532467532468,0.551948051948052,0.12987012987012986
Zanos Savva,cy CYP,DF,Torino,it Serie A,18-169,1,0,22.0,1.0,0.0,1.0,1.0,44.4,0.0,1.0,0.0,0,0,0.0,0,0,4.090909090909091,0.0,4.090909090909091,4.090909090909091,0.0,4.090909090909091,0.0,0.0
Saba Sazonov,ge GEO,DF,Torino,it Serie A,22-102,12,2,356.0,0.0,0.0,1.0,0.0,87.2,0.0,7.0,3.0,2,0,10.0,10,50.0,0.0,0.0,0.25280898876404495,0.0,0.0,1.7696629213483146,0.7584269662921348,2.528089887640449
Joe Scally,us USA,DF,M'Gladbach,de Bundesliga,21-134,31,25,2236.0,1.0,4.0,11.0,1.0,80.2,11.0,28.0,18.0,4,0,22.0,32,40.7,0.04025044722719141,0.16100178890876565,0.44275491949910556,0.04025044722719141,0.44275491949910556,1.1270125223613596,0.7245080500894455,0.8855098389982111
Giorgio Scalvini,it ITA,DF,Atalanta,it Serie A,20-154,30,28,2281.0,0.0,3.0,17.0,5.0,81.0,14.0,31.0,51.0,3,0,76.0,37,67.3,0.0,0.11836913634370891,0.6707584392810171,0.19728189390618148,0.5523893029373081,1.2231477422183252,2.0122753178430512,2.998684787373959
Gianluca Scamacca,it ITA,FW,Atalanta,it Serie A,25-133,26,15,1285.0,10.0,5.0,54.0,22.0,67.5,15.0,9.0,3.0,1,0,20.0,30,40.0,0.7003891050583657,0.35019455252918286,3.7821011673151754,1.5408560311284047,1.0505836575875487,0.6303501945525292,0.21011673151750973,1.4007782101167314
Dane Scarlett,eng ENG,FW,Tottenham,eng Premier League,20-050,3,0,19.0,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Schade,de GER,"FW,MF",Brentford,eng Premier League,22-168,10,3,316.0,2.0,1.0,8.0,4.0,60.5,2.0,1.0,1.0,0,0,16.0,14,53.3,0.569620253164557,0.2848101265822785,2.278481012658228,1.139240506329114,0.569620253164557,0.2848101265822785,0.2848101265822785,4.556962025316456
András Schäfer,hu HUN,MF,Union Berlin,de Bundesliga,25-030,19,13,1152.0,1.0,2.0,20.0,5.0,75.1,21.0,14.0,19.0,1,1,21.0,24,46.7,0.078125,0.15625,1.5625,0.390625,1.640625,1.09375,1.484375,1.640625
Fabian Schär,ch SUI,DF,Newcastle Utd,eng Premier League,32-145,34,34,2937.0,4.0,1.0,33.0,9.0,82.9,12.0,24.0,36.0,4,0,68.0,67,50.4,0.12257405515832481,0.030643513789581203,1.0112359550561798,0.2757916241062308,0.3677221654749745,0.735444330949949,1.1031664964249233,2.083758937691522
Patrik Schick,cz CZE,FW,Leverkusen,de Bundesliga,28-110,19,12,1035.0,7.0,0.0,37.0,12.0,78.9,8.0,4.0,1.0,1,0,24.0,21,53.3,0.6086956521739131,0.0,3.217391304347826,1.0434782608695652,0.6956521739130435,0.34782608695652173,0.08695652173913043,2.0869565217391304
Stefan Schimmer,de GER,"MF,FW",Heidenheim,de Bundesliga,30-015,16,0,153.0,0.0,1.0,5.0,0.0,48.9,0.0,1.0,1.0,0,0,9.0,14,39.1,0.0,0.5882352941176471,2.9411764705882355,0.0,0.0,0.5882352941176471,0.5882352941176471,5.294117647058823
Xaver Schlager,at AUT,MF,RB Leipzig,de Bundesliga,26-228,29,29,2477.0,0.0,5.0,21.0,3.0,88.3,19.0,50.0,19.0,7,0,23.0,18,56.1,0.0,0.18167137666532096,0.763019781994348,0.10900282599919257,0.6903512313282196,1.8167137666532094,0.6903512313282196,0.8356883326604764
Keven Schlotterbeck,de GER,DF,Bochum,de Bundesliga,27-015,26,23,2095.0,5.0,1.0,24.0,9.0,78.1,5.0,20.0,30.0,9,0,107.0,70,60.5,0.21479713603818618,0.042959427207637235,1.0310262529832936,0.3866348448687351,0.21479713603818618,0.8591885441527447,1.288782816229117,4.596658711217184
Nico Schlotterbeck,de GER,DF,Dortmund,de Bundesliga,24-164,32,31,2769.0,2.0,1.0,27.0,6.0,88.6,8.0,50.0,44.0,4,0,57.0,41,58.2,0.06500541711809318,0.03250270855904659,0.8775731310942578,0.19501625135427952,0.26002166847237274,1.6251354279523296,1.4301191765980499,1.8526543878656554
Jeffrey Schlupp,gh GHA,"FW,MF",Crystal Palace,eng Premier League,31-142,29,17,1352.0,2.0,2.0,19.0,11.0,74.0,17.0,24.0,8.0,1,0,22.0,17,56.4,0.1331360946745562,0.1331360946745562,1.264792899408284,0.7322485207100592,1.1316568047337279,1.5976331360946745,0.5325443786982248,1.4644970414201184
Romano Schmid,at AUT,"MF,FW",Werder Bremen,de Bundesliga,24-107,32,29,2512.0,3.0,5.0,33.0,8.0,77.6,40.0,18.0,9.0,5,0,23.0,47,32.9,0.10748407643312101,0.17914012738853502,1.1823248407643312,0.28662420382165604,1.4331210191082802,0.6449044585987261,0.32245222929936307,0.8240445859872612
Kenneth Schmidt,de GER,DF,Freiburg,de Bundesliga,21-345,5,0,68.0,0.0,0.0,1.0,0.0,89.6,0.0,2.0,1.0,0,0,1.0,1,50.0,0.0,0.0,1.3235294117647058,0.0,0.0,2.6470588235294117,1.3235294117647058,1.3235294117647058
Niklas Schmidt,de GER,MF,Toulouse,fr Ligue 1,26-073,21,14,1231.0,1.0,1.0,20.0,13.0,80.7,10.0,21.0,4.0,4,0,7.0,6,53.8,0.07311129163281885,0.07311129163281885,1.4622258326563768,0.950446791226645,0.7311129163281884,1.5353371242891958,0.2924451665312754,0.511779041429732
Benno Schmitz,de GER,DF,Köln,de Bundesliga,29-178,22,13,1155.0,0.0,1.0,8.0,5.0,70.8,5.0,15.0,7.0,5,0,14.0,22,38.9,0.0,0.07792207792207792,0.6233766233766234,0.38961038961038963,0.38961038961038963,1.168831168831169,0.5454545454545454,1.0909090909090908
Fabian Schnellhardt,de GER,MF,Darmstadt 98,de Bundesliga,30-122,9,2,229.0,0.0,0.0,5.0,2.0,87.0,1.0,1.0,4.0,1,0,1.0,3,25.0,0.0,0.0,1.965065502183406,0.7860262008733624,0.3930131004366812,0.3930131004366812,1.5720524017467248,0.3930131004366812
Jan Schöppner,de GER,MF,Heidenheim,de Bundesliga,24-336,25,22,1912.0,2.0,2.0,17.0,4.0,66.4,11.0,26.0,25.0,3,0,37.0,37,50.0,0.09414225941422594,0.09414225941422594,0.8002092050209205,0.18828451882845187,0.5177824267782427,1.2238493723849373,1.1767782426778242,1.7416317991631798
Marcel Schuhen,de GER,GK,Darmstadt 98,de Bundesliga,31-121,30,30,2700.0,0.0,0.0,0.0,0.0,71.2,1.0,0.0,2.0,2,0,7.0,2,77.8,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.06666666666666667,0.23333333333333334
Perr Schuurs,nl NED,DF,Torino,it Serie A,24-169,9,9,770.0,1.0,0.0,7.0,1.0,88.4,2.0,12.0,9.0,2,0,15.0,9,62.5,0.11688311688311688,0.0,0.8181818181818181,0.11688311688311688,0.23376623376623376,1.4025974025974026,1.051948051948052,1.7532467532467533
Marvin Schwäbe,de GER,GK,Köln,de Bundesliga,29-018,33,33,2970.0,0.0,0.0,0.0,0.0,77.9,0.0,0.0,0.0,0,0,5.0,3,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15151515151515152
Alexander Schwolow,de GER,GK,Union Berlin,de Bundesliga,31-346,1,1,90.0,0.0,0.0,0.0,0.0,80.6,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
