,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,League
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
Marin Šverko,hr CRO,DF,Venezia,26-198,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Mile Svilar,rs SRB,GK,Roma,24-359,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Michael Svoboda,at AUT,DF,Venezia,25-310,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,Serie A
Adrien Tameze,cm CMR,MF,Torino,30-198,1994,1,0,20,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Mehdi Taremi,ir IRN,FW,Inter,32-033,1992,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Loum Tchaouna,fr FRA,FW,Lazio,20-347,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0.7,0.7,0.3,0.9,3,2,4,0.00,0.00,0.00,0.00,0.00,4.42,1.65,6.07,4.42,6.07,Matches,Serie A
Jackson Tchatchoua,cm CMR,MF,Hellas Verona,22-341,2001,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,2,1,3,0.00,0.00,0.00,0.00,0.00,0.03,0.13,0.16,0.03,0.16,Matches,Serie A
Casper Tengstedt,dk DEN,FW,Hellas Verona,24-080,2000,1,1,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Pietro Terracciano,it ITA,GK,Fiorentina,34-165,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Florian Thauvin,fr FRA,MF,Udinese,31-207,1993,1,1,75,0.8,0,0,0,0,0,1,0,0,0.8,0.0,0.0,0.0,1,3,6,0.00,0.00,0.00,0.00,0.00,0.95,0.00,0.95,0.00,0.00,Matches,Serie A
Malick Thiaw,de GER,DF,Milan,23-012,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,7,0,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches,Serie A
Morten Thorsby,no NOR,MF,Genoa,28-107,1996,1,0,20,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.31,0.31,0.31,Matches,Serie A
Khéphren Thuram,fr FRA,MF,Juventus,23-147,2001,1,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Marcus Thuram,fr FRA,FW,Inter,27-014,1997,1,1,90,1.0,2,0,2,2,0,0,0,0,0.8,0.8,0.3,1.1,4,1,9,2.00,0.00,2.00,2.00,2.00,0.76,0.31,1.07,0.76,1.07,Matches,Serie A
Fikayo Tomori,eng ENG,DF,Milan,26-245,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04,Matches,Serie A
Emanuele Valeri,it ITA,DF,Parma,25-257,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Devis Vásquez,co COL,GK,Empoli,26-100,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Johan Vásquez,mx MEX,DF,Genoa,25-303,1998,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Matías Vecino,uy URU,MF,Lazio,32-362,1991,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Simone Verdi,it ITA,MF,Como,32-039,1992,1,0,28,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Samuele Vignato,it ITA,MF,Monza,20-178,2004,1,1,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Mattia Viti,it ITA,DF,Empoli,22-209,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,Serie A
Vitinha,pt POR,FW,Genoa,24-158,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,1,4,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19,Matches,Serie A
Dušan Vlahović,rs SRB,FW,Juventus,24-205,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,0,1,1,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.61,0.61,0.61,Matches,Serie A
Alessandro Vogliacco,it ITA,DF,Genoa,25-341,1998,1,1,59,0.7,1,0,1,1,0,0,0,0,0.7,0.7,0.0,0.7,0,2,0,1.53,0.00,1.53,1.53,1.53,1.06,0.00,1.06,1.06,1.06,Matches,Serie A
Mërgim Vojvoda,xk KVX,DF,Torino,29-201,1995,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,Serie A
Sebastian Walukiewicz,pl POL,DF,Empoli,24-137,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,6,3,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,Matches,Serie A
Timothy Weah,us USA,FW,Juventus,24-180,2000,1,1,45,0.5,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,4,1,2,2.00,0.00,2.00,2.00,2.00,0.23,0.00,0.23,0.23,0.23,Matches,Serie A
Mateusz Wieteska,pl POL,DF,Cagliari,27-191,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21,Matches,Serie A
Kenan Yıldız,tr TUR,MF,Juventus,19-108,2005,1,1,90,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.4,8,5,4,0.00,1.00,1.00,0.00,1.00,0.05,0.32,0.37,0.05,0.37,Matches,Serie A
Mattia Zaccagni,it ITA,FW,Lazio,29-065,1995,1,1,76,0.8,1,0,1,0,1,1,0,0,0.9,0.1,0.1,0.2,4,7,6,1.18,0.00,1.18,0.00,0.00,1.03,0.08,1.12,0.10,0.18,Matches,Serie A
Nicola Zalewski,pl POL,FW,Roma,22-210,2002,1,1,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.3,3,0,9,0.00,0.00,0.00,0.00,0.00,0.06,0.33,0.39,0.06,0.39,Matches,Serie A
Andre-Frank Zambo Anguissa,cm CMR,MF,Napoli,28-278,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,6,4,0.00,0.00,0.00,0.00,0.00,0.27,0.03,0.30,0.27,0.30,Matches,Serie A
Francesco Zampano,it ITA,DF,Venezia,30-325,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,3,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,Serie A
Alessandro Zanoli,it ITA,DF,Genoa,23-322,2000,1,1,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Duván Zapata,co COL,FW,Torino,33-141,1991,1,1,71,0.8,1,0,1,1,0,0,0,0,0.9,0.9,0.0,0.9,1,0,3,1.27,0.00,1.27,1.27,1.27,1.10,0.04,1.15,1.10,1.15,Matches,Serie A
Gabriele Zappa,it ITA,DF,Cagliari,24-242,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Serie A
Davide Zappacosta,it ITA,DF,Atalanta,32-070,1992,1,1,67,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,3,2,7,0.00,0.00,0.00,0.00,0.00,0.17,0.19,0.36,0.17,0.36,Matches,Serie A
Jordan Zemura,zw ZIM,DF,Udinese,24-280,1999,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches,Serie A
Keyliane Abdallah,fr FRA,FW,Marseille,18-137,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1
Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,36-327,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,Ligue 1
Himad Abdelli,dz ALG,"FW,MF",Angers,24-277,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,6,3,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10,Matches,Ligue 1
Matthis Abline,fr FRA,FW,Nantes,21-145,2003,1,1,89,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,4,3,7,0.00,0.00,0.00,0.00,0.00,0.21,0.05,0.26,0.21,0.26,Matches,Ligue 1
Abner,br BRA,DF,Lyon,24-085,2000,1,1,84,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,9,4,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,Ligue 1
Zakaria Aboukhlal,ma MAR,FW,Toulouse,24-184,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,4,3,11,0.00,0.00,0.00,0.00,0.00,0.71,0.00,0.71,0.71,0.71,Matches,Ligue 1
Akor Adams,ng NGA,FW,Montpellier,24-204,2000,1,1,79,0.9,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,0,3,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.44,0.44,0.44,Matches,Ligue 1
Emmanuel Agbadou,ci CIV,DF,Reims,27-064,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1
Ruben Aguilar,fr FRA,DF,Lens,31-116,1993,1,1,90,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.4,1,1,5,0.00,1.00,1.00,0.00,1.00,0.05,0.35,0.39,0.05,0.39,Matches,Ligue 1
Jean-Eudes Aholou,ci CIV,MF,Angers,30-153,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,3,0,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches,Ligue 1
Ayman Aiki,fr FRA,MF,Saint-Étienne,19-056,2005,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1
Ludovic Ajorque,fr FRA,FW,Brest,30-177,1994,1,1,63,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches,Ligue 1
Sergio Akieme,es ESP,DF,Reims,26-248,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1
Maghnes Akliouche,fr FRA,FW,Monaco,22-177,2002,1,0,22,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,3,2,5,0.00,0.00,0.00,0.00,0.00,0.27,0.75,1.02,0.27,1.02,Matches,Ligue 1
Clément Akpa,ci CIV,DF,Auxerre,22-270,2001,1,1,51,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1
Mohamed Ali Cho,fr FRA,FW,Nice,20-214,2004,1,1,64,0.7,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,1,1,5,1.41,0.00,1.41,1.41,1.41,0.34,0.00,0.34,0.34,0.34,Matches,Ligue 1
Jordan Amavi,fr FRA,DF,Brest,30-164,1994,1,1,83,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,6,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1
Kelvin Amian,fr FRA,DF,Nantes,26-194,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,4,5,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,Ligue 1
Michael Amir Murillo,pa PAN,DF,Marseille,28-191,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1
Mathis Amougou,fr FRA,MF,Saint-Étienne,18-215,2006,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,6,0,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.11,0.04,0.11,Matches,Ligue 1
Carlens Arcus,ht HAI,DF,Angers,28-053,1996,1,1,75,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1
Hákon Arnar Haraldsson,is ISL,MF,Lille,21-132,2003,1,0,47,0.5,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,6,5,5,0.00,0.00,0.00,0.00,0.00,0.57,0.03,0.60,0.57,0.60,Matches,Ligue 1
Marco Asensio,es ESP,MF,Paris S-G,28-212,1996,1,1,70,0.8,0,0,0,0,0,0,0,0,0.7,0.7,0.5,1.2,3,5,9,0.00,0.00,0.00,0.00,0.00,0.92,0.67,1.59,0.92,1.59,Matches,Ligue 1
Lorenz Assignon,tg TOG,DF,Rennes,24-059,2000,1,1,72,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1
Valentin Atangana Edoa,fr FRA,MF,Reims,18-361,2005,1,1,71,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,Ligue 1
Florian Ayé,fr FRA,FW,Auxerre,27-214,1997,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1
Theo Bair,ca CAN,FW,Auxerre,24-359,1999,1,1,68,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0,1,1,0.00,0.00,0.00,0.00,0.00,0.23,0.11,0.35,0.23,0.35,Matches,Ligue 1
Dilane Bakwa,fr FRA,DF,Strasbourg,21-360,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,1,2,4,0.00,0.00,0.00,0.00,0.00,0.02,0.42,0.44,0.02,0.44,Matches,Ligue 1
Leonardo Balerdi,ar ARG,DF,Marseille,25-207,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1
Folarin Balogun,us USA,FW,Monaco,23-048,2001,1,1,68,0.8,0,0,0,0,0,0,0,0,0.8,0.8,0.0,0.8,1,0,8,0.00,0.00,0.00,0.00,0.00,1.11,0.00,1.11,1.11,1.11,Matches,Ligue 1
Abdoulaye Bamba,ci CIV,DF,Angers,34-117,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,Matches,Ligue 1
Bradley Barcola,fr FRA,FW,Paris S-G,21-353,2002,1,0,20,0.2,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,3,0,6,4.50,0.00,4.50,4.50,4.50,0.25,0.00,0.25,0.25,0.25,Matches,Ligue 1
Dylan Batubinsika,cd COD,DF,Saint-Étienne,28-187,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1
Yassin Belkhdim,fr FRA,MF,Angers,22-188,2002,1,1,69,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,1,4,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches,Ligue 1
Eliesse Ben Seghir,ma MAR,MF,Monaco,19-186,2005,1,1,80,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,3,4,0.00,0.00,0.00,0.00,0.00,0.12,0.03,0.15,0.12,0.15,Matches,Ligue 1
Saïd Benrahma,dz ALG,FW,Lyon,29-010,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,7,4,22,0.00,0.00,0.00,0.00,0.00,0.13,0.25,0.37,0.13,0.37,Matches,Ligue 1
Lucas Beraldo,br BRA,DF,Paris S-G,20-270,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1
Marco Bizot,nl NED,GK,Brest,33-163,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1
Ludovic Blas,fr FRA,FW,Rennes,26-233,1997,1,1,90,1.0,0,1,1,0,0,0,0,0,0.8,0.8,0.3,1.1,6,2,9,0.00,1.00,1.00,0.00,1.00,0.79,0.30,1.09,0.79,1.09,Matches,Ligue 1
Augustine Boakye,gh GHA,MF,Saint-Étienne,23-291,2000,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1
Ayyoub Bouaddi,fr FRA,MF,Lille,16-323,2007,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1
Badredine Bouanani,dz ALG,FW,Nice,19-256,2004,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1
Hicham Boudaoui,dz ALG,MF,Nice,24-332,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,1,12,2,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.29,0.00,0.29,Matches,Ligue 1
Benjamin Bourigeaud,fr FRA,MF,Rennes,30-219,1994,1,1,80,0.9,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,0,4,4,1.13,0.00,1.13,1.13,1.13,0.17,0.00,0.17,0.17,0.17,Matches,Ligue 1
Bilal Brahimi,dz ALG,MF,Nice,24-159,2000,1,1,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,8,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,Ligue 1
Marcin Bułka,pl POL,GK,Nice,24-321,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1
Rémy Cabella,fr FRA,MF,Lille,34-165,1990,1,1,86,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,4,5,13,0.00,0.00,0.00,0.00,0.00,0.15,0.19,0.34,0.15,0.34,Matches,Ligue 1
Mathieu Cafaro,fr FRA,MF,Saint-Étienne,27-148,1997,1,1,67,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,1,6,0.00,0.00,0.00,0.00,0.00,0.12,0.16,0.28,0.12,0.28,Matches,Ligue 1
Duje Ćaleta-Car,hr CRO,DF,Lyon,27-338,1996,1,1,90,1.0,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,0,2,0,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.59,0.59,0.59,Matches,Ligue 1
Issiaga Camara,gn GUI,MF,Nice,19-200,2005,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1
Lamine Camara,sn SEN,MF,Monaco,20-232,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.16,Matches,Ligue 1
Mahdi Camara,fr FRA,MF,Brest,26-051,1998,1,1,90,1.0,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,6,2,1.00,0.00,1.00,1.00,1.00,0.12,0.02,0.14,0.12,0.14,Matches,Ligue 1
Axel Camblan,fr FRA,MF,Brest,20-356,2003,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1
Pierrick Capelle,fr FRA,MF,Angers,37-127,1987,1,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1
Maxence Caqueret,fr FRA,MF,Lyon,24-187,2000,1,1,84,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,8,0,0.00,0.00,0.00,0.00,0.00,0.13,0.07,0.20,0.13,0.20,Matches,Ligue 1
Josué Casimir,fr FRA,FW,Le Havre,22-331,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,1,5,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09,Matches,Ligue 1
Cristian Cásseres Jr.,ve VEN,MF,Toulouse,24-213,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,7,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,Ligue 1
Jean-Charles Castelletto,cm CMR,DF,Nantes,29-207,1995,1,1,90,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches,Ligue 1
Brendan Chardonnet,fr FRA,DF,Brest,29-242,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,Ligue 1
Jhoanner Chávez,ec ECU,DF,Lens,22-117,2002,1,1,64,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,Matches,Ligue 1
Sidiki Cherif,fr FRA,FW,Angers,17-249,2006,1,1,75,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,0,6,0.00,0.00,0.00,0.00,0.00,0.11,0.08,0.19,0.11,0.19,Matches,Ligue 1
Lucas Chevalier,fr FRA,GK,Lille,22-288,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1
Pedro Chirivella,es ESP,MF,Nantes,27-089,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1
Joris Chotard,fr FRA,MF,Montpellier,22-331,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1
Jonathan Clauss,fr FRA,MF,Nice,31-330,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,4,6,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,Ligue 1
Marcus Coco,fr FRA,DF,Nantes,28-057,1996,1,1,74,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,Ligue 1
