,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,League
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
Marc Cucurella,es ESP,DF,Chelsea,26-029,1998,1,1,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Matheus Cunha,br BRA,FW,Wolves,25-085,1999,1,0,34,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,2,0,0,0.00,0.00,0.00,0.00,0.00,0.15,0.20,0.35,0.15,0.35,Matches,Premier League
Diogo Dalot,pt POR,DF,Manchester Utd,25-155,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Mikkel Damsgaard,dk DEN,MF,Brentford,24-048,2000,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Danilo,br BRA,MF,Nott'ham Forest,23-113,2001,1,1,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Leif Davis,eng ENG,DF,Ipswich Town,24-221,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Craig Dawson,eng ENG,DF,Wolves,34-106,1990,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Kevin De Bruyne,be BEL,MF,Manchester City,33-053,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,5,2,0.00,0.00,0.00,0.00,0.00,0.07,0.04,0.11,0.07,0.11,Matches,Premier League
Liam Delap,eng ENG,FW,Ipswich Town,21-194,2003,1,1,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.29,0.00,0.29,Matches,Premier League
Kiernan Dewsbury-Hall,eng ENG,MF,Chelsea,25-349,1998,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Amad Diallo,ci CIV,FW,Manchester Utd,22-040,2002,1,1,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,7,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11,Matches,Premier League
Rúben Dias,pt POR,DF,Manchester City,27-098,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Luis Díaz,co COL,FW,Liverpool,27-220,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.7,9,2,10,0.00,0.00,0.00,0.00,0.00,0.46,0.26,0.72,0.46,0.72,Matches,Premier League
Tyler Dibling,eng ENG,MF,Southampton,18-161,2006,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,Matches,Premier League
Lucas Digne,fr FRA,DF,Aston Villa,31-031,1993,1,1,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,0.00,0.28,Matches,Premier League
Issa Diop,fr FRA,DF,Fulham,27-224,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Matt Doherty,ie IRL,DF,Wolves,32-217,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,4,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches,Premier League
Jeremy Doku,be BEL,FW,Manchester City,22-085,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,18,4,13,0.00,0.00,0.00,0.00,0.00,0.13,0.03,0.17,0.13,0.17,Matches,Premier League
Nicolás Domínguez,ar ARG,FW,Nott'ham Forest,26-053,1998,1,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Abdoulaye Doucouré,ml MLI,MF,Everton,31-232,1993,1,1,62,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,0,4,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20,Matches,Premier League
Cheick Doucouré,ml MLI,MF,Crystal Palace,24-225,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Flynn Downes,eng ENG,"MF,DF",Southampton,25-213,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,1,8,0,0.00,0.00,0.00,0.00,0.00,0.11,0.15,0.26,0.11,0.26,Matches,Premier League
